# Ossuary rating table — generated by tools/FetchCodexData, do not edit
# snapshot	v26
# data_through	2026-08-25T16:34:38.319000
# total_runs	1416903
kind	bracket	character	id	score	win_rate	pick_rate	picks	tier
cards	all	all	EVIL_EYE	43	41.1	22.1	44705	C
cards	all	all	EXPECT_A_FIGHT	22	34.7	22.4	27471	D
cards	all	all	EXPERTISE	60	46.2	13.2	27256	B
cards	all	all	EXPOSE	69	49	45.1	92863	A
cards	all	all	FADE	89	55.1	20.9	4688	S
cards	all	all	FALLING_STAR	2	28.9	21.4	301993	F
cards	all	all	FAN_OF_KNIVES	81	52.4	44.7	50369	A
cards	all	all	FASTEN	49	42.7	17.3	27688	B
cards	all	all	FEAR	31	37.6	15.1	54267	C
cards	all	all	FEED	43	41	21.4	26243	C
cards	all	all	FEEL_NO_PAIN	56	45.1	18.8	46263	B
cards	all	all	FERAL	29	36.9	26.2	36760	C
cards	all	all	FETCH	54	44.3	29.2	53376	B
cards	all	all	FIEND_FIRE	68	48.7	17.9	21134	A
cards	all	all	FIGHT_ME	14	32.3	15.8	23400	D
cards	all	all	FIGHT_THROUGH	41	40.6	22.6	36099	C
cards	all	all	FINESSE	83	53	19.3	41042	A
cards	all	all	FINISHER	49	42.9	21.1	42860	B
cards	all	all	FISTICUFFS	67	48.3	8	18184	A
cards	all	all	FLAK_CANNON	62	46.7	29.5	22299	B
cards	all	all	FLAME_BARRIER	31	37.4	34	60122	C
cards	all	all	FLANKING	70	49.1	37.8	22474	A
cards	all	all	FLASH_OF_STEEL	80	52.1	14.6	34985	A
cards	all	all	FLATTEN	26	36	19	75030	D
cards	all	all	FLECHETTES	39	40	10.8	23718	C
cards	all	all	FLICK_FLACK	25	35.6	13.8	82294	D
cards	all	all	FOCUSED_STRIKE	2	28.8	13.5	48411	F
cards	all	all	FOOTWORK	49	42.8	37.8	83044	B
cards	all	all	FORBIDDEN_GRIMOIRE	100	76.6	0	158	S
cards	all	all	FOREGONE_CONCLUSION	76	50.9	19.8	21269	A
cards	all	all	FORGOTTEN_RITUAL	52	43.8	19.1	38894	B
cards	all	all	FRIENDSHIP	66	48.1	39.3	70296	B
cards	all	all	FTL	37	39.1	25.5	51195	C
cards	all	all	FURNACE	39	39.9	31.8	49569	C
cards	all	all	FUSION	17	33.3	21.4	26267	D
cards	all	all	GAMMA_BLAST	56	45.1	24.7	46447	B
cards	all	all	GANG_UP	73	50	12.8	17080	A
cards	all	all	GATHER_LIGHT	37	39.2	36.4	142409	C
cards	all	all	GENESIS	54	44.5	45.7	30547	B
cards	all	all	GENETIC_ALGORITHM	46	42	26.4	26892	B
cards	all	all	GLACIER	41	40.5	37.1	57450	C
cards	all	all	GLASSWORK	22	34.9	23.6	36789	D
cards	all	all	GLIMMER	57	45.4	18.5	27225	B
cards	all	all	GLIMPSE_BEYOND	100	61	44.3	25825	S
cards	all	all	GLITTERSTREAM	29	36.9	16	61605	C
cards	all	all	GLOW	34	38.4	32.4	101593	C
cards	all	all	GOLD_AXE	100	60.8	7.2	17318	S
cards	all	all	GO_FOR_THE_EYES	25	35.7	22.4	84873	D
cards	all	all	GRAND_FINALE	45	41.6	7.1	13126	B
cards	all	all	GRAVEBLAST	40	40.1	17	53182	C
